Version	Date	Time	Author	Comment
56	30-Aug-2021	18:30	Philip Swannell	Deal with times with fractional seconds - CDate does not cope with them.
55	30-Aug-2021	13:46	Philip Swannell	Now test all possible responses to bad inputs.
54	30-Aug-2021	07:54	Philip Swannell	Reworked performance testing to include comparison with Julia.
53	28-Aug-2021	15:49	Philip Swannell	More tests and fixes to column-by-column formatting.
52	27-Aug-2021	20:29	Philip Swannell	Implemented Column-by-column type conversion
51	26-Aug-2021	19:21	Philip Swannell	Changes to sheet Demo.
50	26-Aug-2021	19:14	Philip Swannell	More refactoring.
49	26-Aug-2021	18:29	Philip Swannell	Refactoring
48	26-Aug-2021	13:47	Philip Swannell	Got rid of RetainQuotes option for ConvertTypes. ConvertTypes TRUE is now NDB rather than NDBE as previously.
47	26-Aug-2021	13:44	Philip Swannell	Now have two possibilities for DateFormat: ISO and ISOZ, the latter handles datetime with time zone.
46	25-Aug-2021	00:15	Philip Swannell	Added more tests.
45	24-Aug-2021	19:41	Philip Swannell	Added sheet "RegExp".
44	24-Aug-2021	19:11	Philip Swannell	Work on ISOO8601 date recognition.
43	24-Aug-2021	10:22	Philip Swannell	Sheet Demo no longer creates a file on disk.
42	24-Aug-2021	09:41	Philip Swannell	Work on ISOO8601 date recognition
41	21-Aug-2021	19:02	Philip Swannell	Added arguments TrueStrings, FalseStrings and MissingStrings .
40	21-Aug-2021	11:55	Philip Swannell	Added module modCVSSentinels, but not yet "plugged in".
39	20-Aug-2021	12:34	Philip Swannell	CSVRead now accepts FileName as URL or a CSV string.
38	20-Aug-2021	09:00	Philip Swannell	CSVWrite can now write to String.
37	19-Aug-2021	19:24	Philip Swannell	Now support UTf8 with BOM
36	19-Aug-2021	17:53	Philip Swannell	Now support "T" as a ConvertTypes option.
35	19-Aug-2021	12:27	Philip Swannell	More work on tests
34	18-Aug-2021	20:19	Philip Swannell	Removed modCVSTestAgainstExcel.
33	18-Aug-2021	20:15	Philip Swannell	New module modCSVTest
32	16-Aug-2021	22:28	Philip Swannell	New argument "Comment" to CSVRead.
31	16-Aug-2021	11:47	Philip Swannell	Changes to type conversion code. Now possible to convert quoted strings.
30	15-Aug-2021	11:54	Philip Swannell	Got capitalisation of functions CSVRead and CSVWrite called from cells correct. 
29	15-Aug-2021	10:30	Philip Swannell	More work on IgnoreRepeated.
28	15-Aug-2021	08:01	Philip Swannell	Added argument IgnoreRepeated.
27	13-Aug-2021	20:11	Philip Swannell	Reinstated conditional formatting on sheet Demo.
26	13-Aug-2021	19:56	Philip Swannell	Added a bunch of functions to modCSVTestDeps so that we no longer have dependency on SAI for testing.
25	13-Aug-2021	17:32	Philip Swannell	Removed Help sheet - broken out to separate workbook
24	13-Aug-2021	17:03	Philip Swannell	Help changes
23	12-Aug-2021	19:18	Philip Swannell	Work on Markdown help.
22	12-Aug-2021	17:56	Philip Swannell	Added argument ShowMissingsAs to CSVRead. Simplification of this workbook.
21	11-Aug-2021	23:43	Philip Swannell	Corrections to code comments.
20	11-Aug-2021	23:33	Philip Swannell	Code formatting.
19	11-Aug-2021	19:44	Philip Swannell	Method TimeThreeParsers now has TimeOut argument so that time to execute is averaged over the number of calls required to take (in total) the TimeOut value.
18	11-Aug-2021	17:45	Philip Swannell	Removed reference to SolumAddin.
17	11-Aug-2021	17:00	Philip Swannell	Renamed CSVRead_V3 as CSVRead
16	11-Aug-2021	12:28	Philip Swannell	Removed redundant modules. CSVWrite no longer has Ragged argument.
15	11-Aug-2021	11:53	Philip Swannell	Deleted functions CSVRead_V1 and CSVRead_V2
14	11-Aug-2021	11:48	Philip Swannell	Deleted 2 of the 3 sheets with timing results.
13	11-Aug-2021	11:46	Philip Swannell	Changed method SaveWorkbookAndExportModules to also save a backup to OneDrive.
12	11-Aug-2021	11:33	Philip Swannell	Bug fixes to handling of SkipNumRows etc.
11	10-Aug-2021	22:54	Philip Swannell	Added sheet `TimingResults (3)`
10	10-Aug-2021	17:37	Philip Swannell	CSVRead_V3 now supports SkipToRow and NumRows.
9	09-Aug-2021	13:06	Philip Swannell	CSVRead_V2 now supports SkipToCol and NumCols, not yet SkipToRow and NumRows though.
8	08-Aug-2021	13:11	Philip Swannell	Now have two functions CSVRead_V1 and CSVRead_V2
7	07-Aug-2021	23:04	Philip Swannell	Settled on fastest algo.
6	06-Aug-2021	15:59	Philip Swannell	Add sheet "TimingResults" and module modCompareAgainstAlternatives.
5	04-Aug-2021	08:22	Philip Swannell	Added code to compare against https://github.com/sdkn104/VBA-CSV
4	03-Aug-2021	09:02	Philip Swannell	Rewrote code to split a string, rather than examining each character in VBA code, use InStr in a while loop to push the character examination down to C code.
3	29-Jul-2021	14:21	Philip Swannell	Code now compiles.
2	29-Jul-2021	13:50	Philip Swannell	Reimported sFileSaveCSV and sFileShow from SolumAddin version 2199. Code does not yet compile
1	23-Jul-2021	14:07	Philip Swannell	First version. Start with SolumAddin's sFileShow to create CSVParse.
