"Performance",,,,,,,,,,,,,,,
"Performance - shows regression in Julia's performance from version 0.8.5+ to version 0.9.0",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"This data generated 30-September-2021 08:35:08",,,,,,,"C:\Projects\VBA-CSV\julia\juliaparsetimes(CSV_version_main_as_of_29-Aug-2021).csv","C:\Projects\VBA-CSV\julia\juliaparsetimes_CSV_version_0.9.0.csv",,,,,,"Chart_1_Time_v_Rows.jpg",
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",1024,1,5.47435951849173E-03,5.39733354904425E-03,1.38810119111803E-02,5.25375643585163E-04,9.51112801978315E-04,914,927,361,9517,5257,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_1024_x_001_Ascii.csv",34816
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",2048,1,8.31779767449735E-03,9.12441457163726E-03,1.94894210109306E-02,7.16332378223496E-04,9.99001416708624E-04,602,549,257,6980,5007,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_2048_x_001_Ascii.csv",69632
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",4096,1,1.81090566791957E-02,1.69969291528845E-02,3.15473930816512E-02,1.12688753662384E-03,1.47015583651867E-03,277,295,159,4437,3401,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_4096_x_001_Ascii.csv",139264
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",8192,1,3.34046779992059E-02,3.38950216222705E-02,5.92910576474798E-02,2.22311104668511E-03,2.83578703114562E-03,150,148,85,2250,1766,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_8192_x_001_Ascii.csv",278528
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",16384,1,6.51747168815852E-02,6.59277078934553E-02,0.109610026084777,4.28988001154381E-03,4.53665159406705E-03,77,76,46,1166,1105,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_16384_x_001_Ascii.csv",557056
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",32768,1,0.130805669233012,0.131991110527643,0.201547996001318,7.60790243699558E-03,7.67228176181203E-03,39,38,25,658,653,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_32768_x_001_Ascii.csv",1114112
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",65536,1,0.263983115786687,0.272403421064251,0.42291389167076,1.42045454545455E-02,1.46064139663652E-02,19,19,12,352,343,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_65536_x_001_Ascii.csv",2228224
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",131072,1,0.534365079994313,0.516904959990643,0.770063214270132,2.88965523928061E-02,0.034054422054161,10,10,7,174,147,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_131072_x_001_Ascii.csv",4456448
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",262144,1,1.19942685998976,1.04152575996704,1.7175040000584,6.13780486874464E-02,5.61333338419596E-02,5,5,3,82,90,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_262144_x_001_Ascii.csv",8912896
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",524288,1,2.55163413332775,2.21993866671498,3.80364520009607,0.111600001653035,0.125700002908707,3,3,2,45,40,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_524288_x_001_Ascii.csv",17825792
32,"xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx",1048576,1,5.37027700000908,4.39032484998461,6.19345489982516,0.241238094511486,0.254899990558624,2,2,1,21,20,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_32_1048576_x_001_Ascii.csv",35651584
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,6.63868623535429
,,,,,,,,,,,,,,,195255.47751042
,,,,,,,,,,,,,,"Chart_3_Time_v_Rows.jpg",
,,,,,,,,,,,,,,"Parse Time v Num Rows. Log Scales.
One column of 20-char fields with embedded breaks.",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.14","sdkn104
v1.9","ws_garcia
v3.1.5","CSV.jl
v0.8.5+","CSV.jl
v0.9.0","NCalls
CSVRead
v0.14","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
CSV.jl
v0.8.5+","NCalls
CSV.jl
v0.9.0","File","Size"
20,"""xxxxxxxx
yyyyyyyy""",1,1,2.54925028038275E-04,1.94120890596423E-04,3.33863678226653E-03,2.69811326924039E-04,6.07976653696498E-04,19614,25758,1498,18550,8224,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Quoted_Strings_with-LF_length_20_0001_x_001_Ascii.csv",26
