"Performance",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"This data generated 06-November-2022 12:06:11",,,,,,,,,,,,"Chart_1_Time_v_Rows.jpg",
17,0.719057207097576,16,10,3.41778044418882E-04,3.74209853115535E-04,2.36028440423398E-03,3.27581408333329E-04,14388,13160,2114,15000,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0016_x_010_Ascii.csv",2896
17,0.719057207097576,32,10,5.02157470632202E-04,6.31486930613402E-04,2.99770549241765E-03,3.54089744665343E-04,9845,7847,1665,13895,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0032_x_010_Ascii.csv",5792
17,0.719057207097576,64,10,8.45239940214271E-04,1.14364612142588E-03,3.81648734161581E-03,4.78744199031004E-04,5876,4351,1309,10320,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0064_x_010_Ascii.csv",11584
17,0.719057207097576,128,10,1.5094799234847E-03,2.23417973644162E-03,6.05869255984884E-03,5.1497292398979E-04,3300,2233,825,9602,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0128_x_010_Ascii.csv",23168
17,0.719057207097576,256,10,0.002841735147893,4.27215526062807E-03,1.01247468604245E-02,7.84512023158681E-04,1756,1169,494,6327,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0256_x_010_Ascii.csv",46336
17,0.719057207097576,512,10,0.005707551956279,8.69441764021874E-03,1.84794499200181E-02,1.99986379902727E-03,876,575,271,2493,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_0512_x_010_Ascii.csv",92672
17,0.719057207097576,1024,10,1.28149347757659E-02,1.81819088022782E-02,0.035789966646431,1.69655632513719E-03,391,275,140,2946,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_1024_x_010_Ascii.csv",185344
17,0.719057207097576,2048,10,2.60055439299238E-02,3.67102926005477E-02,6.70030960749928E-02,2.27157055493594E-03,193,137,75,2196,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_2048_x_010_Ascii.csv",370688
17,0.719057207097576,4096,10,5.52525129101645E-02,7.39656818985043E-02,0.130349612177564,3.38868120466734E-03,91,68,39,1473,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_4096_x_010_Ascii.csv",741376
17,0.719057207097576,8192,10,0.113830775347724,0.156266293529512,0.265160532285481,6.56305521196561E-03,44,33,19,763,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_8192_x_010_Ascii.csv",1482752
17,0.719057207097576,16384,10,0.254679868074964,0.328074160574902,0.54156049807496,1.15600676985639E-02,20,16,10,433,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_16384_x_010_Ascii.csv",2965504
17,0.719057207097576,32768,10,0.505758188074997,0.778901762360882,1.10964016807518,2.66538229894858E-02,10,7,5,188,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_32768_x_010_Ascii.csv",5931008
17,0.719057207097576,65536,10,1.07087504807494,1.33406039807513,2.1885546814085,4.39328451183553E-02,5,4,3,114,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_65536_x_010_Ascii.csv",11862016
17,0.719057207097576,131072,10,2.02365124807534,2.73985309807502,4.06684879807433,0.09293869350844,3,2,2,54,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_131072_x_010_Ascii.csv",23724032
17,0.719057207097576,262144,10,4.35312579807449,5.63315394807576,8.48803244807603,0.167027578674467,2,1,1,30,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Doubles_262144_x_010_Ascii.csv",47448064
,,,,,,,,,,,,,
,,,,,,,,,,,,,10.8997686262565
,,,,,,,,,,,,,602197.161671629
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,"Chart_5_Time_v_Cols.jpg",
,,,,,,,,,,,,"Parse Time v Num Cols. Log Scales.
8 rows of 16-char fields (no quotes).",
"Field Length","Each Field Contains","Num Rows","Num Cols","CSVRead
v0.21(176)","sdkn104
v1.9","ws_garcia
v3.1.5","CSV.jl
v0.8.5+","NCalls
CSVRead
v0.21(176)","NCalls
sdkn104
v1.9","NCalls
ws_garcia
v3.1.5","NCalls
CSV.jl
v0.8.5+","File","Size"
16,"xxxxxxxxxxxxxxxx",8,1,1.84727720714329E-04,1.2261645321874E-04,1.99513983499965E-03,2.53184026004339E-04,26250,38951,2500,19360,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_16_0008_x_001_Ascii.csv",144
16,"xxxxxxxxxxxxxxxx",8,2,1.98848259139435E-04,1.38660933133044E-04,2.00853768434357E-03,2.75922346872003E-04,24438,34624,2483,17751,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_16_0008_x_002_Ascii.csv",280
16,"xxxxxxxxxxxxxxxx",8,4,2.17437746026263E-04,1.6325026860508E-04,2.04018432704561E-03,2.99088948064256E-04,22403,29586,2444,16402,"C:\Users\phili\AppData\Local\Temp\VBA-CSV\Performance\Strings_length_16_0008_x_004_Ascii.csv",552
