,"Audit",,,,,,
,,,,,,,
,"All 252 rows shown.",,,,,,
,"","","","","",,"Check list for release"
,"Version","Date","Time","Author","Comment",,"Tests pass (Button Test on worksheet Test)"
,129,2021-10-04,0.42137731481489,"Philip Swannell","Work on non-RFC4180",,
,128,2021-10-01,0.436076388890797,"Philip Swannell","Added sheet NotRFC4180.",,
,127,2021-09-30,0.662615740737238,"Philip Swannell","Re-ran performance tests. Strangely there seems to have been a regression in Julia's performance...",,
,126,2021-09-30,0.602233796293149,"Philip Swannell","Changes prompted by RubberDuck analysis.",,
,125,2021-09-30,0.574525462965539,"Philip Swannell","Changes prompted by RubberDuck analysis.",,
,124,2021-09-30,0.355879629627452,"Philip Swannell","Re-imported sdkn104 code also.",,
,123,2021-09-30,0.35304398147855,"Philip Swannell","Re-imported ws_garcia code - I must have inadvertently changed it when making the Rubberduck-prompted changes and somehow broke it.",,
,122,2021-09-29,0.818391203705687,"Philip Swannell","Changes prompted by RubberDuck analysis.",,
,121,2021-09-29,0.762118055557949,"Philip Swannell","Changes prompted by RubberDuck analysis.",,
,120,2021-09-29,0.707928240743058,"Philip Swannell","Changes prompted by RubberDuck analysis.",,
,119,2021-09-29,0.529374999998254,"Philip Swannell","First GIF revisited.",,
,118,2021-09-28,0.834317129629198,"Philip Swannell","Added hyperlinks etc on this sheet.",,
,117,2021-09-28,0.709189814813726,"Philip Swannell","Work on third GIF",,
,116,2021-09-28,0.479293981479714,"Philip Swannell","Work on second GIF",,
,115,2021-09-28,0.466006944443507,"Philip Swannell","Work on Titanic GIF.",,
,114,2021-09-28,0.423888888886722,"Philip Swannell","Merged src and dev folders. Deleted variable HasBOM as no longer needed.",,
,113,2021-09-27,0.803043981482915,"Philip Swannell","Arg DateFormat to CSVRead now defaults to Y-M-D.",,
,112,2021-09-27,0.788055555553001,"Philip Swannell","Changes to sheet GIF.",,
,111,2021-09-27,0.769201388888177,"Philip Swannell","Changes to sheet GIF.",,
,110,2021-09-27,0.729178240741021,"Philip Swannell","Changes to sheet GIF.",,
,109,2021-09-25,0.815185185187147,"Philip Swannell","Added sheet GIF that works in conjunction with workbook VBA-CSV-GIFMaker.xlsm",,
,108,2021-09-24,0.731944444443798,"Philip Swannell","Added code to generate CSVReadTitanic.gif.",,
